fck;fck_cube;fcm;fctm;fctk_005;fctk_095;Ecm;epsilon_c1;epsilon_cu1;epsilon_c2;epsilon_cu2;n;epsilon_c3;epsilon_cu3
25;30;33;2.6;1.8;3.3;31;2.1;3.5;2;3.5;2;1.75;3.5
30;37;38;2.9;2;3.8;33;2.2;3.5;2;3.5;2;1.75;3.5
